id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
43459803,https://www.airbnb.com/rooms/43459803,20250502031400,2025-05-02,city scrape,Luxury 1 bedroom Apt in the heart of Center Square,"Experience modern comfort in Albany's ""Center Square"".  This first-floor sanctuary in an elegant stone building offers 24/7 surveillance and a hardwired fire alarm system. Enjoy a bright living space, modern kitchen, and sleek bathroom. Ideal for short or extended stays. Private parking included. Surrounded by shops, restaurants, and nightlife. Walk to Albany Med, State Offices, The Capitol, and Empire State Plaza. 30 mins to Saratoga Raceway, 50 mins to Lake George, 1/2 mile to Palace Theater.",,https://a0.muscache.com/pictures/a0a62931-cbd4-4ded-992f-63fac3430f4a.jpg,299638115,https://www.airbnb.com/users/show/299638115,Flerida,2019-10-03,"Albany, NY","Hi! My name is Dom . Due to my lineage in real estate and hospitality with my mom Flerida, I have developed a passion for hospitality and real estate, always looking to create amazing guest experiences. I will always try to meet your expectation and even go beyond the expectation of your stay. If you have suggestions for me, please let me know!  Flerida and I  own and operate multiple properties, from airbnb units to traditional bed and breakfasts.

Some great features I have are due to the inspirations of other guests that stayed with us at our other establishments and had interesting ideas. So please don't hesitate to let me know your thoughts. Feel free to communicate with me! 
Hope to see you soon, Dom",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/89182882-befc-488f-9851-e7b80ad0c3a4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/89182882-befc-488f-9851-e7b80ad0c3a4.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone', 'work_email']",t,t,,SIXTH WARD,,42.65556,-73.76205,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,2,"[""Iron"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Conditioner"", ""Kitchen"", ""Pets allowed"", ""Ceiling fan"", ""Hangers"", ""TV"", ""Bed linens"", ""Lockbox"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Dryer"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Central air conditioning"", ""Dishwasher"", ""Dishes and silverware""]",$122.00,2,1080,1,3,365,1125,2.9,1084.1,,t,15,45,69,340,2025-05-02,18,2,0,219,3,12,1464,2021-02-16,2025-02-24,4.94,5.0,4.94,4.72,4.94,4.72,4.83,,f,3,3,0,0,0.35
43736299,https://www.airbnb.com/rooms/43736299,20250502031400,2025-05-02,previous scrape,*The Blue House* Incredible 3 Bedroom Apartment,"Beautiful 2nd Floor apartment in the heart of Albany. We are located just steps away from Washington Park, Albany Med, local restaurants and bars. This space features refinished original hardwood floors, exposed brick and a built in fireplace with 50"" Smart TV. Magnificent large kitchen. Second floor balcony. Free street parking only.","We are located in a young professional area, seconds away from Albany Medical Center. AMC employs close to ten thousand people. Walking distance to Washington Park, The Cuckoo’s Nest and Washington Tavern.",https://a0.muscache.com/pictures/miso/Hosting-43736299/original/0c9128b1-960a-4c21-80d0-3d81d68a905b.jpeg,349460842,https://www.airbnb.com/users/show/349460842,Scott,2020-06-10,"Albany, NY",Hi my name is Scott Guadagnino. I’ve been in the Albany area for 9 years. Went to school in South Carolina. We love hosting and having guests at our 4 Airbnb’s!,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-349460842/original/b19931f2-cd8b-4aec-96be-ecf0a6a0161d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-349460842/original/b19931f2-cd8b-4aec-96be-ecf0a6a0161d.jpeg?aki_policy=profile_x_medium,Pine Hills,17,17,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.66257,-73.78281,Entire home,Entire home/apt,6,,1 bath,3,,"[""Iron"", ""Coffee"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Portable air conditioning"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Free dryer \u2013 In building"", ""Noise decibel monitors on property"", ""GE gas stove"", ""GE stainless steel oven"", ""Self check-in"", ""Baking sheet"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Wine glasses"", ""Private patio or balcony"", ""Keypad"", ""Bed linens"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Dining table"", ""Indoor fireplace: electric"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""50 inch HDTV with Roku"", ""Outdoor furniture"", ""Dishes and silverware""]",,1,1125,1,3,365,1125,1.0,1109.0,,t,0,0,0,0,2025-05-02,131,17,0,0,24,102,,2020-07-05,2024-10-28,4.85,4.9,4.95,4.96,4.96,4.6,4.73,,f,17,4,13,0,2.23
43955950,https://www.airbnb.com/rooms/43955950,20250502031400,2025-05-02,city scrape,* Quaint home located in residential neighborhood*,"Newly renovated single family home in the heart of Albany. The house is equipped with everything you need including the all important Nespresso coffee machine. You will find it warm and homey, but also simple and free of clutter that prevent you from making the space feel like your own. I want you to enjoy the freedom that comes with staying in an Air BnB and the comfort you would expect from a boutique hotel. Enjoy the fenced in backyard equipped with grill, firpit and hammock. Hello summer","Tree lined streets, sidewalks, tight knit community, and local services such as a hospital, specialty and retail shops and the Capital Hills Golf Course are a few of many attractions to the neighborhood.  Normanskill Deriving its name from Norman’s Creek, Normanskill is a residential community tucked away from the hustle and bustle of the City. Large lawns, trees and location right off of New Scotland Avenue area few of many amenities of the neighborhood. North Albany / Shaker Park A tight knit community with an Irish past, the neighborhood enjoys a golf course, Sacred Heart Park, Hackett Park, and will soon host a brand new YMCA facility. Housing styles are typically a mixture of single family and duplexes. Park South Tucked between the growing University Heights and Washington Park, Park South features a mix of housing styles. Located close to services on New Scotland Avenue and downtown, getting anywhere quickly is easy",https://a0.muscache.com/pictures/e668f12e-c457-4aa8-8123-f6c696a81dda.jpg,232967878,https://www.airbnb.com/users/show/232967878,Diana,2018-12-28,"Albany, NY","",within a few hours,100%,97%,t,https://a0.muscache.com/im/pictures/user/User-232967878/original/cea8ebfc-ac7a-4317-a182-2fe36680942c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-232967878/original/cea8ebfc-ac7a-4317-a182-2fe36680942c.jpeg?aki_policy=profile_x_medium,Delaware Avenue,24,38,['phone'],t,t,Neighborhood highlights,EIGHTH WARD,,42.64383,-73.78926,Entire home,Entire home/apt,6,1.0,1 bath,3,3,"[""Books and reading material"", ""Iron"", ""Coffee"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Crib"", ""Hammock"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Portable air conditioning"", ""Cooking basics"", ""Barbecue utensils"", ""Self check-in"", ""Cleaning available during stay"", ""Baking sheet"", ""Conditioner"", ""Clothing storage: closet and dresser"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Coffee maker: Nespresso"", ""First aid kit"", ""Pets allowed"", ""Smart lock"", ""High chair"", ""Free residential garage on premises"", ""Hangers"", ""Ceiling fan"", ""Free dryer \u2013 In unit"", ""Children\u2019s dinnerware"", ""TV"", ""Wine glasses"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Body soap"", ""Board games"", ""Private entrance"", ""BBQ grill"", ""Smoke alarm"", ""Stainless steel electric stove"", ""Hair dryer"", ""Fire pit"", ""Microwave"", ""Dining table"", ""Heating"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Outdoor dining area"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Dishwasher"", ""Outdoor furniture"", ""Dishes and silverware""]",$248.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,19,27,27,2025-05-02,91,18,0,27,24,108,26784,2020-07-05,2024-11-30,4.91,4.9,4.91,4.95,4.93,4.81,4.78,,f,22,22,0,0,1.55
44180048,https://www.airbnb.com/rooms/44180048,20250502031400,2025-05-02,city scrape,Historic Queen Studio Across from Washington Park!,"1st floor studio in Historic Brownstone 1800's across the street from Washington park. Beautiful woodwork throughout with all the comforts & amenities of home. Quiet area where you can walk or jog in the park or just enjoy a cup of coffee outside. Choice of restaurants and stores on Lark street, movie theater, hospitals and malls all in close proximity. We are located on State street in Albany in a desirable residential area. ((NO PARTIES!!))","This elegant building is in a professional and residential environment. We are right across the street from a beautiful huge park and walking distance to Lark Street with great food, bars, shops and culture. Near museums and the state capital.",https://a0.muscache.com/pictures/443fe8e8-17c2-4d30-8eb9-3e23daf38655.jpg,355777684,https://www.airbnb.com/users/show/355777684,Lloyd,2020-07-11,"Albany, NY","Hello my name is Lloyd and I'm currently a Superhost on my personal listings for over 5 years. These listings I'm co-hosting with a family friend and hopefully you will get to enjoy some of our amazing spaces. We take pride in providing a great, clean space for your stay! We love questions so please ask us anything you'd like. Thank You for stopping by and safe traveling!",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/044afeb0-994b-4ca3-b6ee-6e0e9ad61f8f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/044afeb0-994b-4ca3-b6ee-6e0e9ad61f8f.jpg?aki_policy=profile_x_medium,Central Avenue,3,3,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65935,-73.76805,Entire rental unit,Entire home/apt,4,1.0,1 bath,0,1,"[""Park view"", ""Iron"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Smart lock"", ""Hangers"", ""TV"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishes and silverware""]",$99.00,1,365,1,1,365,365,1.0,365.0,,t,9,28,43,298,2025-05-02,367,35,1,177,41,210,20790,2020-07-17,2025-04-14,4.97,4.98,4.99,4.98,4.99,4.95,4.96,,f,3,3,0,0,6.29
44265426,https://www.airbnb.com/rooms/44265426,20250502031400,2025-05-02,city scrape,Parkside Queen 1 Bedroom (1800's) Brownstone!,"This 1st floor one bedroom in a Historic Brownstone 1800's across the street from Washington park. Beautiful woodwork throughout with all the comforts of home. Great area where you can walk or jog in the park or just enjoy a cup of coffee outside. Choice of restaurants, stores & shops on Lark street. Movie theater, hospitals and malls are all in close proximity. We are located on State street in Albany in a desirable residential area with easy Uber or Lyft service available. ((NO PARTIES!!))","This elegant building is in a professional and residential environment. We are right across the street from a beautiful huge park and walking distance to Lark Street with great food, bars, shops and culture. Near museums and the state capital.",https://a0.muscache.com/pictures/400bbd55-4564-4cd8-bfef-d983f561e756.jpg,355777684,https://www.airbnb.com/users/show/355777684,Lloyd,2020-07-11,"Albany, NY","Hello my name is Lloyd and I'm currently a Superhost on my personal listings for over 5 years. These listings I'm co-hosting with a family friend and hopefully you will get to enjoy some of our amazing spaces. We take pride in providing a great, clean space for your stay! We love questions so please ask us anything you'd like. Thank You for stopping by and safe traveling!",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/044afeb0-994b-4ca3-b6ee-6e0e9ad61f8f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/044afeb0-994b-4ca3-b6ee-6e0e9ad61f8f.jpg?aki_policy=profile_x_medium,Central Avenue,3,3,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.66006,-73.76966,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Iron"", ""Coffee"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""TV with Roku"", ""Conditioner"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Shower gel"", ""Hangers"", ""Ceiling fan"", ""Wine glasses"", ""Keypad"", ""Room-darkening shades"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Board games"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Free parking on premises"", ""Microwave"", ""Dining table"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishes and silverware""]",$108.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,24,50,74,333,2025-05-02,301,11,1,212,16,66,7128,2020-08-01,2025-04-04,4.99,4.98,4.99,4.98,5.0,4.98,4.97,,f,3,3,0,0,5.20
44450012,https://www.airbnb.com/rooms/44450012,20250502031400,2025-05-02,city scrape,Spacious upscale luxury apartment with huge yard,,,https://a0.muscache.com/pictures/f71b0980-2197-4f16-997a-abcc7d613747.jpg,353498132,https://www.airbnb.com/users/show/353498132,Michael,2020-07-04,"Albany, NY","",within a day,90%,89%,t,https://a0.muscache.com/im/pictures/user/90fe32ef-2fd1-4d47-9388-a2c796561478.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/90fe32ef-2fd1-4d47-9388-a2c796561478.jpg?aki_policy=profile_x_medium,Mansion Area,6,6,"['email', 'phone']",t,t,,EIGHTH WARD,,42.64808,-73.7996,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Iron"", ""Shampoo"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Hangers"", ""TV"", ""Bathtub"", ""Lockbox"", ""Backyard"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Heating"", ""Dryer"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi""]",$146.00,13,1125,13,13,1125,1125,13.0,1125.0,,t,0,0,0,241,2025-05-02,26,3,0,121,4,78,11388,2020-08-23,2024-11-26,4.85,4.92,4.69,4.96,4.96,4.96,4.77,,f,6,6,0,0,0.46
45024912,https://www.airbnb.com/rooms/45024912,20250502031400,2025-05-02,city scrape,Private Apt Queen 1 Bed Sanctuary with many Extras,"Our listing is designed with the business or casual traveler in mind ->PLEASE NO SMOKERS in the home *Beautiful 1 bedroom w/Smart TVs that feels like home *Free Driveway parking *Equipped with coffee maker, Fridge & Many Extras  *Private bath, Quiet neighborhood, 12 minute drive to downtown Albany *Close to Highway I-87, I-90, I-787  Traveling nurses & doctors welcome Please inquire with dates needed for more info.",My neighborhood is very friendly and very quiet with neighbors who are friendly and respectful. There is parking for 2 cars in the driveway and feel free to take a walk or jog around the neighborhood.<br /><br />#No parties Please - $500 Fine<br />#No smoking Please - $300 Fine<br />#Please Only guests listed within the reservation may stay here<br /><br />The host reserves the right to cancel any reservation that does not adhere to Airbnb's rules and/or Airbnb's company rules and regulations.<br /><br />Looking forward to hosting you!,https://a0.muscache.com/pictures/4ca78f0f-2374-44ca-823b-99269dd798de.jpg,362851072,https://www.airbnb.com/users/show/362851072,Elsa,2020-08-16,"Albany, NY","",N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/d5d15e59-b05f-4bd1-8604-068a7976e3bd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d5d15e59-b05f-4bd1-8604-068a7976e3bd.jpg?aki_policy=profile_x_medium,Pine Hills,1,1,"['email', 'phone']",t,t,Neighborhood highlights,FOURTEENTH WARD,,42.66132,-73.7956,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,1,"[""Iron"", ""Coffee maker"", ""Shampoo"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""First aid kit"", ""Patio or balcony"", ""Smart lock"", ""Hangers"", ""TV"", ""Backyard"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Free street parking"", ""Outdoor furniture"", ""Dishes and silverware""]",$142.00,1,365,1,1,365,365,1.0,365.0,,t,0,0,13,288,2025-05-02,129,6,0,167,8,36,5112,2020-08-26,2025-01-12,4.95,4.97,4.94,4.97,4.97,4.95,4.9,,f,1,1,0,0,2.26
45074220,https://www.airbnb.com/rooms/45074220,20250502031400,2025-05-02,city scrape,Secluded Studio Suite Fl 3 @ Downtown Albany,"BOOK this 3rd floor studio loft in a renovated historic two-century-old building in a quiet neighborhood of Albany's Pastures. Great location near Albany Medical Center, MVP Arena, Empire State Plaza, Library, Lark Street, State Offices, courts; easy access to local & regional bus routes and highways (I-787, I-90 & I-87).<br /><br />Queen + twin beds + futon<br />Up to 5 NON-SMOKING guests<br />Toiletries included<br /><br />Save & BOOK this unit today!<br />Message me anytime. Hope to welcome you soon!<br /><br />-Earl","Located in downtown Albany. Close to the Times Union, Capital Rep. Theatre, NYS Museum, Visitors Station and several eateries.",https://a0.muscache.com/pictures/b638ce59-6216-401c-862a-06833dac2019.jpg,272907816,https://www.airbnb.com/users/show/272907816,Angela,2019-07-02,"Albany, NY", ,within an hour,100%,93%,t,https://a0.muscache.com/im/pictures/user/153f9845-f918-45b8-94e0-f0e6f8cedfde.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/153f9845-f918-45b8-94e0-f0e6f8cedfde.jpg?aki_policy=profile_x_medium,Pastures,2,6,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,,42.64454,-73.75369,Entire loft,Entire home/apt,4,1.0,1 bath,0,3,"[""Books and reading material"", ""Iron"", ""Shampoo"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Noise decibel monitors on property"", ""Electric stove"", ""Self check-in"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Smart lock"", ""Shower gel"", ""Wine glasses"", ""TV"", ""Bed linens"", ""Paid street parking off premises"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Dishes and silverware""]",$70.00,1,29,1,3,29,29,2.2,29.0,,t,11,41,70,70,2025-05-02,35,5,1,70,4,30,2100,2021-09-16,2025-04-19,4.69,4.83,4.91,4.94,4.74,4.37,4.63,,f,2,2,0,0,0.79
45313545,https://www.airbnb.com/rooms/45313545,20250502031400,2025-05-02,city scrape,Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,"Adorable, Updated, trendy & very clean! Great location & nice neighborhood. Walking distance to Albany Medical Center and close to downtown Albany. The one bedroom is comfortable with a memory foam king bed and a private patio with outdoor seating for your wine/coffee!The living room is beautifully decorated with a comfortable  full-sized futon for additional space. The adorable eat-in kitchen has granite counters and a table and chairs. Off street parking, coffee and WiFi included. Welcome !","Lovely quiet neighborhood close to AMC (Albany medical center), Albany Law School etc And minutes from shops, restaurants, downtown Albany.",https://a0.muscache.com/pictures/3cf6c844-f4a4-4d7f-b2e7-1909a6bdb996.jpg,165293595,https://www.airbnb.com/users/show/165293595,Kori,2018-01-01,"Delmar, NY","",within an hour,98%,100%,f,https://a0.muscache.com/im/pictures/user/af4d6a23-c038-4ce2-ae7b-9c8e4e1c03d9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/af4d6a23-c038-4ce2-ae7b-9c8e4e1c03d9.jpg?aki_policy=profile_x_medium,Pine Hills,5,7,"['email', 'phone']",t,t,Neighborhood highlights,NINTH WARD,,42.6545,-73.78223,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Iron"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Shampoo"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Pets allowed"", ""Shower gel"", ""Hangers"", ""Keypad"", ""TV"", ""Bed linens"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Heating"", ""Dryer"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishes and silverware""]",$85.00,2,365,2,2,1125,1125,2.0,1125.0,,t,23,53,77,167,2025-05-02,151,32,1,167,41,192,16320,2020-10-18,2025-04-10,4.74,4.81,4.6,4.91,4.89,4.74,4.73,,f,1,1,0,0,2.73
45528939,https://www.airbnb.com/rooms/45528939,20250502031400,2025-05-02,city scrape,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,"MODERN beautifully furnished apartment with UNIQUE spiral staircase. Newly renovated, cozy and trendy! PRIME location in the heart of downtown Albany and walking distance to popular restaurants, and cafes on Lark Street. Local attractions including The Egg, Empire State Plaza, Times Union Center are less than 5 minutes away. 4K Smart TV with Netflix, stocked kitchen & bathroom, high speed internet ready for you to use! Free street parking. Available for long term stays!","This airbnb is on a quiet street in downtown Albany.<br /><br />The Bull & Bee is located right downstairs which is a wonderful Meadery & Tasting Room to try.<br /><br />Lark Street is filled with incredible bars and restaurants and it's only 5 minutes away! Some of our favorite restaurants include, Dove + Deer, The Loft, Rain Modern Chinese and Rosanna's.<br /><br />If you want to walk to dinner, Cafe Capriccio is only 1 minute away and has some of the most delicious Italian food!<br /><br />The Egg and Empire State Plaza are less than a 3 minute drive away.<br /><br />For groceries Market 32 is only 4 minutes away. You will have everything you need!<br /><br />You will be in very close vicinity to a lot of great attractions!",https://a0.muscache.com/pictures/a3989721-d59b-45e4-8caa-a5bccded7f56.jpg,47625981,https://www.airbnb.com/users/show/47625981,Linda,2015-10-28,"Albany, NY","",within an hour,97%,97%,f,https://a0.muscache.com/im/pictures/user/fcdee17f-16de-4999-98d5-c28b545cc982.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcdee17f-16de-4999-98d5-c28b545cc982.jpg?aki_policy=profile_x_medium,Mansion Area,19,19,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,,42.64801,-73.75668,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,1,"[""Iron"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Luggage dropoff allowed"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Paid parking lot off premises"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Pets allowed"", ""Hangers"", ""Wine glasses"", ""Keypad"", ""TV"", ""Room-darkening shades"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Microwave"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishwasher"", ""Clothing storage"", ""Dishes and silverware""]",$108.00,1,1125,1,2,1125,1125,1.3,1125.0,,t,21,37,57,209,2025-05-02,99,10,0,209,14,60,6480,2021-01-27,2025-02-16,4.61,4.7,4.7,4.8,4.83,4.48,4.55,,f,18,18,0,0,1.91
